,Unnamed: 0,Date publication,Type de publication,Titre,Libellé recommandation,Destinataire 1,Destinataire 2,Destinataire 3,text_cleaned,text_preprocess,verbe_inf
10,10,18/09/2015,RALFSS,L'insuffisance rénale chronique terminale : favoriser des prises en charge plus efficientes,"Mettre un terme à la pratique de la priorité locale pour l'allocation d'une partie des reins prélevés sur les donneurs décédés, dès la mise en ?uvre des recommandations visant à harmoniser les pratiques d'inscription sur les listes d'attente de greffe, en cours d'élaboration par la Haute Autorité de santé.",Ministère chargé de la Santé et des affaires sociales, , ,L'insuffisance rénale chronique terminale : favoriser des prises en charge plus efficientes L'insuffisance rénale chronique terminale : favoriser des prises en charge plus efficientes,"[insuffisance, rénale, chronique, terminale, favoriser, prises, charge, plus, efficientes, insuffisance, rénale, chronique, terminale, favoriser, prises, charge, plus, efficientes]","[Mettre, uvre, harmoniser]"
11,11,18/09/2015,RALFSS,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles",Documenter précisément par sous-objectif les mesures d'économies structurelles prévues pour assurer la réalisation de la trajectoire pluriannuelle de l'ONDAM.,Ministère chargé de la Santé et des affaires sociales, , ,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles","[objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles, objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles]","[Documenter, assurer]"
12,12,18/09/2015,RALFSS,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles","Insérer, dans les projets de loi de financement de la sécurité sociale, une annexe consacrée à la méthode de construction de l'ONDAM, qui comporte l'ensemble des informations pertinentes sur les choix ayant conduit à la détermination de la base et à la fixation des tendanciels par sous-objectif, ainsi qu'une présentation des méthodes d'évaluation des économies prévues et de leur réalisation (recommandation réitérée).",Ministère chargé de la Santé et des affaires sociales, , ,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles","[objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles, objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles]",[Insérer]
13,13,18/09/2015,RALFSS,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles",Intégrer à l'ONDAM les dépenses d'indemnités journalières maternité/paternité (recommandation réitérée).,Ministère chargé de la Santé et des affaires sociales, , ,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles","[objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles, objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles]",[Intégrer]
14,14,18/09/2015,RALFSS,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles",Évaluer a posteriori les tendanciels pris en compte dans la construction de l'ONDAM annuel afin d'affiner leur méthodologie en vue de l'élaboration des objectifs ultérieurs.,Ministère chargé de la Santé et des affaires sociales, , ,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles","[objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles, objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles]",[affiner]
15,15,18/09/2015,RALFSS,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles","Instaurer des dispositifs plus complets de suivi et de régulation infra-annuels des dépenses de soins de ville en examinant à ce titre et dans la perspective des négociations conventionnelles à venir, l'éventualité d'affecter à une réserve prudentielle en cas d'augmentation tarifaire une partie des montants financiers en cause.",Ministère chargé de la Santé et des affaires sociales, , ,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles","[objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles, objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles]","[Instaurer, venir, affecter]"
16,16,18/09/2015,RALFSS,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles",Abaisser le niveau du seuil d'alerte afin qu'il conserve son efficacité et son rôle de régulation de la dépense d'assurance maladie (recommandation réitérée).,Ministère chargé de la Santé et des affaires sociales, , ,"L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles L'objectif national de dépenses d'assurance maladie :une dynamique de croissance toujours soutenue en 2014, une trajectoire de ralentissement conditionnée par la réalisation d'économies structurelles","[objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles, objectif, national, dépenses, assurance, maladie, dynamique, croissance, toujours, soutenue, trajectoire, ralentissement, conditionnée, réalisation, économies, structurelles]",[Abaisser]
17,17,18/09/2015,RALFSS,La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement,Évaluer chaque année au plan national les incidences des changements comptables sur les résultats agrégés et les situations nettes cumulées des établissements publics de santé pris dans leur ensemble (à partir notamment d'informations explicites à faire figurer dans leurs annexes).,Ministère chargé de la Santé et des affaires sociales,Ministère chargé de l'Économie et des Finances, ,La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement,"[qualité, comptes, établissements, publics, santé, exigence, confirmer, pleinement, qualité, comptes, établissements, publics, santé, exigence, confirmer, pleinement]","[Évaluer, partir, faire, figurer]"
18,18,18/09/2015,RALFSS,La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement,"Évaluer au plan national, dans le cadre d'un échantillon représentatif d'opérations, la fréquence et l'incidence financière des anomalies de toute nature affectant l'application de la tarification à l'activité par les hôpitaux publics.",Ministère chargé de la Santé et des affaires sociales,Ministère chargé de l'Économie et des Finances, ,La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement,"[qualité, comptes, établissements, publics, santé, exigence, confirmer, pleinement, qualité, comptes, établissements, publics, santé, exigence, confirmer, pleinement]",[Évaluer]
19,19,18/09/2015,RALFSS,La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement,Formaliser une méthode de provisionnement des emprunts structurés.,Ministère chargé de la Santé et des affaires sociales,Ministère chargé de l'Économie et des Finances, ,La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement La qualité des comptes des établissements publics de santé : une exigence à confirmer pleinement,"[qualité, comptes, établissements, publics, santé, exigence, confirmer, pleinement, qualité, comptes, établissements, publics, santé, exigence, confirmer, pleinement]",[Formaliser]
20,20,18/09/2015,RALFSS,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo","Définir par branche et activité, pour la prochaine génération de COG, un schéma cible d'organisation géographique et fonctionnelle différenciant les ressorts territoriaux et les périmètres d'activités des organismes de base, en prenant notamment en compte les possibilités de gestion dématérialisée de la production.",Ministère chargé de la Santé et des affaires sociales,Caisses nationales,Agence Centrale des Organismes de Sécurité Sociale,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo","[réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu, réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu]",[Définir]
21,21,18/09/2015,RALFSS,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo",Fixer des objectifs contraignants aux caisses nationales pour réduire vigoureusement les écarts de taille et de coût entre organismes en définissant une dimension critique minimale pour le maintien de sites en activité et la pérennisation d'organismes distincts et en alignant les moins performants sur les meilleurs.,Ministère chargé de la Santé et des affaires sociales,Caisses nationales,Agence Centrale des Organismes de Sécurité Sociale,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo","[réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu, réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu]",[réduire]
22,22,18/09/2015,RALFSS,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo","Recentrer les mutualisations sur les processus de production et les fonctions support à enjeux significatifs de productivité, en attribuant notamment aux caisses concernées des blocs de compétence cohérents.",Ministère chargé de la Santé et des affaires sociales,Caisses nationales, ,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo","[réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu, réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu]",[Recentrer]
23,23,18/09/2015,RALFSS,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo",Renégocier l'accord relatif aux garanties conventionnelles apportées dans le cadre de l'évolution des réseaux afin de favoriser une plus grande mobilité géographique et fonctionnelle des agents.,Ministère chargé de la Santé et des affaires sociales,Union des caisses nationales de sécurité sociale, ,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo","[réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu, réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu]","[Renégocier, favoriser]"
24,24,18/09/2015,RALFSS,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo",Mettre en ?uvre la convention cadre de performance de l'article L. 114-23 du code de la sécurité sociale pour développer les mutualisations interbranches et inter-régimes.,Ministère chargé de la Santé et des affaires sociales, , ,"La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo La réorganisation des réseaux de caisses du régime général : un mouvement significatif, un impossible statu quo","[réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu, réorganisation, réseaux, caisses, régime, général, mouvement, significatif, impossible, statu]","[Mettre, uvre, développer]"
25,25,18/09/2015,RALFSS,"La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté",Redéfinir la trajectoire de réduction des déficits en fonction d'un objectif réaffirmé et d'un calendrier réajusté de retour rapide à l'équilibre des comptes de la sécurité sociale.,Ministère chargé de la Santé et des affaires sociales, , ,"La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté","[situation, perspectives, financières, sécurité, sociale, réduction, limitée, déficits, objectif, retrour, équilibre, reporté, situation, perspectives, financières, sécurité, sociale, réduction, limitée, déficits, objectif, retrour, équilibre, reporté]",[Redéfinir]
26,26,18/09/2015,RALFSS,"La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté","Renforcer les mesures structurelles d'économies, telles que celles recommandées dans les différents chapitres du présent rapport, afin de réduire durablement le rythme de progression des dépenses.",Ministère chargé de la Santé et des affaires sociales, , ,"La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté","[situation, perspectives, financières, sécurité, sociale, réduction, limitée, déficits, objectif, retrour, équilibre, reporté, situation, perspectives, financières, sécurité, sociale, réduction, limitée, déficits, objectif, retrour, équilibre, reporté]","[Renforcer, réduire]"
27,27,18/09/2015,RALFSS,"La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté","Organiser sans attendre davantage la reprise par la CADES des déficits des branches maladie et famille actuellement portés par l'ACOSS et de ceux des années à venir, en prévoyant, conformément aux dispositions de la loi organique du 13 novembre 2010 relative à la gestion de la dette sociale, les recettes nécessaires à l'amortissement complet de la dette sociale à son terme prévu.",Ministère chargé de la Santé et des affaires sociales, , ,"La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté","[situation, perspectives, financières, sécurité, sociale, réduction, limitée, déficits, objectif, retrour, équilibre, reporté, situation, perspectives, financières, sécurité, sociale, réduction, limitée, déficits, objectif, retrour, équilibre, reporté]","[Organiser, attendre, venir]"
28,28,18/09/2015,RALFSS,"La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté",Mettre fin au sous-financement structurel du FSV (recommandation réitérée).,Ministère chargé de la Santé et des affaires sociales, , ,"La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté La situation et les perspectives financières de la sécurité sociale : une réduction limitée des déficits en 2014, un objectif de retrour à l'équilibre reporté","[situation, perspectives, financières, sécurité, sociale, réduction, limitée, déficits, objectif, retrour, équilibre, reporté, situation, perspectives, financières, sécurité, sociale, réduction, limitée, déficits, objectif, retrour, équilibre, reporté]",[Mettre]
29,29,18/09/2015,RALFSS,La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire,"Confier à la direction générale de l'offre de soins la responsabilité de concevoir la stratégie de recomposition de l'offre de soins et de veiller à sa mise en ?uvre par l'intermédiaire des agences régionales de santé et clarifier, dans les textes réglementaires, la répartition des compétences entre le secrétariat général, la direction générale de l'offre de soins et les autres directions du ministère des affaires sociales et de la santé.",Ministère chargé de la Santé et des affaires sociales, , ,La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire,"[stratégie, pilotage, central, organisation, système, soins, refonte, nécessaire, stratégie, pilotage, central, organisation, système, soins, refonte, nécessaire]","[concevoir, veiller, uvre, clarifier]"
30,30,18/09/2015,RALFSS,La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire,Associer la direction générale de l'offre de soins à l'élaboration de la convention d'objectifs et de gestion de la CNAMTS avec l'État et à la politique conventionnelle avec les professions de santé pour tout ce qui concerne l'organisation de l'offre de soins.,Ministère chargé de la Santé et des affaires sociales, , ,La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire,"[stratégie, pilotage, central, organisation, système, soins, refonte, nécessaire, stratégie, pilotage, central, organisation, système, soins, refonte, nécessaire]",[Associer]
31,31,18/09/2015,RALFSS,La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire,"Repenser l'organisation interne de la direction générale de l'offre de soins en engageant une remise à plat des profils de postes, en restructurant des sous-directions et en réduisant significativement ses effectifs.",Ministère chargé de la Santé et des affaires sociales, , ,La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire,"[stratégie, pilotage, central, organisation, système, soins, refonte, nécessaire, stratégie, pilotage, central, organisation, système, soins, refonte, nécessaire]","[Repenser, plat]"
32,32,18/09/2015,RALFSS,La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire,"Recentrer la composition du comité national de pilotage des ARS, sous la présidence régulière du ministre de la santé, sur le secrétaire général, les directeurs du ministère les plus concernés (DGOS, DGCS, DGS et DSS), le directeur général de la CNAMTS et le directeur de la CNSA et l'élargir aux directeurs généraux des ARS.",Ministère chargé de la Santé et des affaires sociales, , ,La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire La stratégie et le pilotage central de l'organisation du système de soins : une refonte nécessaire,"[stratégie, pilotage, central, organisation, système, soins, refonte, nécessaire, stratégie, pilotage, central, organisation, système, soins, refonte, nécessaire]","[Recentrer, élargir]"
33,33,18/09/2015,RALFSS,Les centres de lutte contre le cancer : un positionnement à redéfinir dans l'offre de soins,"aîtriser rigoureusement les charges de fonctionnement des CLCC pour rétablir leur équilibre financier et leur capacité à investir, en particulier dans les centres les plus fragiles.",Ministère chargé de la Santé et des affaires sociales,UNICANCER, ,Les centres de lutte contre le cancer : un positionnement à redéfinir dans l'offre de soins Les centres de lutte contre le cancer : un positionnement à redéfinir dans l'offre de soins,"[centres, lutte, cancer, positionnement, redéfinir, offre, soins, centres, lutte, cancer, positionnement, redéfinir, offre, soins]","[aîtriser, rétablir, investir]"
34,34,18/09/2015,RALFSS,Les centres de lutte contre le cancer : un positionnement à redéfinir dans l'offre de soins,"Examiner les possibilités de fusion entre CLCC, et de coopération renforcée avec les CHU n'excluant pas la fusion avec ces derniers, notamment ceux faisant l'objet d'opérations de restructuration immobilière.",Ministère chargé de la Santé et des affaires sociales,UNICANCER, ,Les centres de lutte contre le cancer : un positionnement à redéfinir dans l'offre de soins Les centres de lutte contre le cancer : un positionnement à redéfinir dans l'offre de soins,"[centres, lutte, cancer, positionnement, redéfinir, offre, soins, centres, lutte, cancer, positionnement, redéfinir, offre, soins]",[Examiner]
35,35,18/09/2015,RALFSS,"Les cotisations sociales : une place prépondrante mais en déclin dans le financement de la sécurité sociale, une cohérence et une lisibilité à réablir",Harmoniser progressivement les efforts contributifs entre les cotisants au régime général et ceux aux régimes qui lui sont financièrement intégrés.,Ministère chargé de la Santé et des affaires sociales, , ,"Les cotisations sociales : une place prépondrante mais en déclin dans le financement de la sécurité sociale, une cohérence et une lisibilité à réablir Les cotisations sociales : une place prépondrante mais en déclin dans le financement de la sécurité sociale, une cohérence et une lisibilité à réablir","[cotisations, sociales, place, prépondrante, déclin, financement, sécurité, sociale, cohérence, lisibilité, réablir, cotisations, sociales, place, prépondrante, déclin, financement, sécurité, sociale, cohérence, lisibilité, réablir]",[Harmoniser]
